A.Parc.;Parc;n;DAP ;Ht;Hdom
720;533;53;;;
720;533;54;18,14;14,02;
720;533;55;17,98;13,95;
720;533;56;;;
720;533;57;18,46;14,15;
720;533;58;19,10;14,40;
720;533;59;;;
720;533;60;18,94;14,34;
720;534;1;19,42;14,53;
720;534;2;;;
720;534;3;17,98;13,95;
720;534;4;19,26;14,47;
720;534;5;19,74;14,65;
720;534;6;;;
720;534;7;19,10;14,40;
720;534;8;;;
720;534;9;18,78;14,28;
720;534;10;18,94;14,34;
720;534;11;19,89;14,72;
720;534;12;18,30;14,08;
720;534;13;16,23;13,22;
720;534;14;;;
720;534;15;19,89;14,72;
720;534;16;20,05;14,78;
720;534;17;;;
720;534;18;19,74;14,65;
720;534;19;;;
720;534;20;18,78;14,28;
720;534;21;;;
720;534;22;18,30;14,08;
720;534;23;19,10;14,40;
720;534;24;;;
720;534;25;20,37;14,90;
720;534;26;17,19;13,62;
720;534;27;17,83;13,89;
720;534;28;;;
720;534;29;19,74;14,65;
720;534;30;;;
720;534;31;18,78;14,28;
720;534;32;20,69;15,03;
720;534;33;;;
720;534;34;20,21;14,84;
720;534;35;17,03;13,56;
720;534;36;;;
720;534;37;16,71;13,42;
720;534;38;19,10;14,40;
720;534;39;20,37;14,90;
720;534;40;;;
720;534;41;19,42;14,53;
720;534;42;;;
720;534;43;20,37;14,90;
720;534;44;21,49;15,33;
720;534;45;;;
720;534;46;20,37;14,90;
720;534;47;;;
720;534;48;20,21;14,84;
720;534;49;;;
720;534;50;20,69;15,03;
720;534;51;18,62;14,21;
720;534;52;;;
720;534;53;18,62;14,21;
720;534;54;17,35;13,69;
720;534;55;19,58;14,59;
720;534;56;18,94;14,34;
720;534;57;;;
720;534;58;18,30;14,08;
720;534;59;19,26;14,47;
720;534;60;;;
720;341;1;17,51;13,76;
720;341;2;;;
720;341;3;19,74;14,65;
720;341;4;18,14;14,02;
720;341;5;19,10;14,40;
720;341;6;;;
720;341;7;20,69;15,03;
720;341;8;;;
720;341;9;19,10;14,40;
720;341;10;19,74;14,65;
720;341;11;21,01;15,15;
720;341;12;;;
720;341;13;19,74;14,65;
720;341;14;;;
720;341;15;17,35;13,69;
720;341;16;;;
720;341;17;20,05;14,78;
720;341;18;;;
720;341;19;17,51;13,76;
720;341;20;18,46;14,15;
720;341;21;19,10;14,40;
720;341;22;;;
720;341;23;19,10;14,40;
720;341;24;22,60;15,74;
720;341;25;;;
720;341;26;19,89;14,72;
720;341;27;18,78;14,28;
720;341;28;18,78;14,28;
720;341;29;18,46;14,15;
720;341;30;;;
720;341;31;19,10;14,40;
720;341;32;;;
720;341;33;18,14;14,02;
720;341;34;18,30;14,08;
720;341;35;18,62;14,21;
720;341;36;19,26;14,47;
720;341;37;19,74;14,65;
720;341;38;18,30;14,08;
720;341;39;;;
720;341;40;15,60;12,94;
720;341;41;18,14;14,02;
720;341;42;17,51;13,76;
720;341;43;16,87;13,49;
720;341;44;17,35;13,69;
720;341;45;17,67;13,82;
720;341;46;17,83;13,89;
720;341;47;18,78;14,28;
720;341;48;;;
720;341;49;18,94;14,34;
720;341;50;;;
720;341;51;18,14;14,02;
720;341;52;17,51;13,76;
720;341;53;18,30;14,08;
720;341;54;;;
720;341;55;16,87;13,49;
720;341;56;16,55;13,35;
720;341;57;17,83;13,89;
720;341;58;17,51;13,76;
720;341;59;17,51;13,76;
720;341;60;15,28;12,80;
720;342;1;18,78;14,28;
720;342;2;17,83;13,89;
720;342;3;;;
720;342;4;18,62;14,21;
720;342;5;17,03;13,56;
720;342;6;15,92;13,08;
720;342;7;;;
720;342;8;19,74;14,65;
720;342;9;;;
720;342;10;19,10;14,40;
720;342;11;;;
720;342;12;17,19;13,62;
720;342;13;19,42;14,53;
720;342;14;18,94;14,34;
720;342;15;19,89;14,72;
720;342;16;;;
720;342;17;20,37;14,90;
720;342;18;19,74;14,65;
720;342;19;;;
720;342;20;18,46;14,15;
720;342;21;19,26;14,47;
720;342;22;19,26;14,47;
720;342;23;;;
720;342;24;19,42;14,53;
720;342;25;8,75;9,54;
720;342;26;20,37;14,90;
720;342;27;;;
720;342;28;18,78;14,28;
720;342;29;19,74;14,65;
720;342;30;18,30;14,08;
720;342;31;;;
720;342;32;19,26;14,47;
720;342;33;;;
720;342;34;18,62;14,21;
720;342;35;19,89;14,72;
720;342;36;;;
720;342;37;20,37;14,90;
720;342;38;19,10;14,40;
720;342;39;19,74;14,65;
720;342;40;;;
720;342;41;19,10;14,40;
720;342;42;15,92;13,08;
720;342;43;;;
720;342;44;18,62;14,21;
720;342;45;19,26;14,47;
720;342;46;19,74;14,65;
720;342;47;;;
720;342;48;18,46;14,15;
720;342;49;17,19;13,62;
720;342;50;18,14;14,02;
720;342;51;;;
720;342;52;17,67;13,82;
720;342;53;;;
720;342;54;18,94;14,34;
720;342;55;18,30;14,08;
720;342;56;19,42;14,53;
720;342;57;;;
720;342;58;19,74;14,65;
720;342;59;18,14;14,02;
720;342;60;18,14;14,02;
720;343;1;;;
720;343;2;15,12;12,73;
720;343;3;18,30;14,08;
720;343;4;;;
720;343;5;14,96;12,66;
720;343;6;18,94;14,34;
720;343;7;;;
720;343;8;18,46;14,15;
720;343;9;18,30;14,08;
720;343;10;20,69;15,03;
720;343;11;;;
720;343;12;17,51;13,76;
720;343;13;17,19;13,62;
720;343;14;;;
720;343;15;18,14;14,02;
720;343;16;;;
720;343;17;;;
720;343;18;;;
720;343;19;14,96;12,66;
720;343;20;17,83;13,89;
720;343;21;;;
720;343;22;17,67;13,82;
720;343;23;17,03;13,56;
720;343;24;17,03;13,56;
